Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,dox
"Name","ABT-263 (Navitoclax)","ABT-737","Roxadustat (FG-4592)","Selumetinib (AZD6244)","Bortezomib (PS-341)","PD184352 (CI-1040)","Gefitinib (ZD1839)","Imatinib Mesylate (STI571)","Lapatinib (GW-572016) Ditosylate","Lenalidomide (CC-5013)","Panobinostat (LBH589)","PD0325901","Perifosine (KRX-0401)","Rapamycin (Sirolimus)","Trichostatin A (TSA)","Vorinostat (SAHA, MK0683)","Y-27632 2HCl","Olaparib (AZD2281, Ku-0059436)","Pictilisib (GDC-0941)","SL-327","Crizotinib (PF-02341066)","SB216763","Refametinib (RDEA119, Bay 86-9766)","OSI-906 (Linsitinib)","U0126-EtOH","GDC-0879","LY294002","OSU-03012 (AR-12)","GSK690693","Palbociclib (PD-0332991) HCl","Docetaxel","Gemcitabine HCl","Paclitaxel","Cisplatin","PD98059","Regorafenib (BAY 73-4506)","XAV-939","Doxorubicin (Adriamycin)","Fluorouracil (5-Fluoracil, 5-FU)","Methotrexate","Epirubicin HCl","Etoposide","KU-0063794","Vinblastine","CHIR-99021 (CT99021)","Vemurafenib (PLX4032, RG7204)","Camptothecin","Ifosfamide","Mercaptopurine (6-MP)","Ruxolitinib (INCB018424)","Tipifarnib","Pimasertib (AS-703026)","BIX 02188","BIX 02189","AZD8055","PD318088","Fasudil (HA-1077) HCl","BIRB 796 (Doramapimod)","Metformin HCl","Cyclophosphamide Monohydrate","AZD8330","RAF265 (CHIR-265)","NVP-BHG712","Torkinib (PP242)","SB590885","BKM120 (NVP-BKM120, Buparlisib)","Honokiol","TAK-733","Gedatolisib (PF-05212384, PKI-587)","ICG-001","Trametinib (GSK1120212)","ZM 336372","PAC-1","PF-04691502","AZ 628","CPI-613","Lonafarnib","Dabrafenib (GSK2118436)","Alpelisib (BYL719)","GW5074","Niclosamide","Nifuroxazide","JNK-IN-8","QNZ (EVP4593)","Tofacitinib (CP-690550) Citrate","VX-702","Binimetinib (MEK162, ARRY-162, ARRY-438162)","CZC24832","Duvelisib (IPI-145, INK1197)","IPA-3","PF-3758309","SCH772984","Encorafenib (LGX818)","(+)-JQ1","LGK-974","Erastin","FRAX597","SC75741","TAK-632","EHop-016","SH-4-54","JSH-23","Sorafenib","FTI 277 HCl","EHT 1864","JNK Inhibitor IX","FR 180204","XMD8-92","GDC-0623","GDC-0994","ML141","CCG-1423","Erlotinib","LY3009120","BI-847325","Ulixertinib (BVD-523, VRT752271)","CEP-32496","AZD5363","Cobimetinib (GDC-0973, RG7420)","Nutlin-3a","Deltarasin","Salirasib","ABT-199","LDE225","PIR3.5","Fl172","FRAX1036","FRAX716","SCH51344","Kobe2602","#N/A"
10,13.56712144,12.79964512,20.15587359,31.64236459,100.5506215,54.58969278,1.965188322,59.2437205,71.53189289,11.93596703,101.7777285,59.28006339,-9.773565091,21.44070163,102.741884,96.10823768,4.814898447,-5.444485568,57.6638737,13.69539047,85.70989555,18.93090442,63.98539871,49.89290873,21.21409302,14.53127693,52.00507197,93.83146252,-49.90039109,31.60174606,17.08383049,92.99343824,25.54317255,-33.54609067,20.41668727,-6.906752429,16.76957138,98.74630391,62.08274154,85.77616788,102.1475708,99.21662367,102.6264419,75.74339248,-14.51273241,-14.41297902,92.68225775,15.34234808,80.57663,30.48269556,34.86519438,58.95231234,33.00313115,30.39402588,72.5542409,34.66125412,-4.623846601,-40.26462357,-22.51295409,-13.18268725,56.11044917,-10.00609604,98.35490039,76.98994153,-35.20380171,99.84898446,-9.372107844,65.80647843,78.78771925,29.37210784,54.20626784,6.539665826,92.8329962,70.56804012,30.81077337,-2.427055335,-0.629277619,-17.9841503,25.87408906,-13.01864834,91.41871484,-34.01119455,38.19917426,42.40876721,-1.604644074,-45.30992823,18.24406329,-0.864252265,55.4266134,31.95966655,102.6273111,85.7856035,23.94846315,97.29595323,12.90324961,102.0205091,39.85281509,52.03843867,42.97418583,99.64052292,98.73150043,5.48704274,-17.88073802,-12.25424297,14.73310008,60.79574884,-5.63844811,68.18362254,56.97785438,7.616752576,11.66839568,9.557574622,5.930929048,65.81780297,97.46595224,53.73606768,14.78032202,-0.134730119,65.95710771,-48.16181191,89.1241952,-23.27112334,-35.52049654,-21.33974568,-29.45719847,55.49036303,79.89938774,90.64238081,-25.63930401,-18.65990016,100
3.333333333,-7.417690703,-24.43471441,-7.840978479,9.398378199,98.90236456,11.8440409,-1.823023488,-29.5505106,-14.05561264,-15.92620256,100.0589236,35.8068322,-22.25627884,9.813114706,99.86865787,47.74867823,-12.0695806,-38.68967849,46.61991083,-5.070367584,-4.809553904,5.409211586,31.24473062,27.79215608,19.25371479,-41.77882412,23.05261569,-0.027257167,8.682209487,12.05354697,15.7305923,98.39997755,13.76380061,-24.38554462,-5.639026919,-15.62690817,-3.753472283,98.92160491,36.22370652,96.82226857,103.8001034,37.75652134,101.8931706,73.04546736,-14.89179528,-34.82030536,91.31231123,-15.20878938,21.59356036,-7.776053645,12.20787498,37.39449694,-9.423092909,-5.619163734,80.93130871,13.83939705,-1.340851783,-40.64811993,-15.864945,-14.28219125,56.34099033,-24.2154119,11.24802571,46.42550362,-66.84114273,75.76851672,-44.48308349,53.74296877,80.02909474,1.37687384,53.05356203,-31.5616947,23.3713874,56.18803514,5.240655047,-9.968411427,-6.683199867,-49.19587686,13.19875862,-37.65330156,64.82889523,-32.77868603,-29.35381972,29.75117072,-10.42062678,-53.39216936,2.425392779,-7.299454127,26.08997847,-9.581480733,62.63032151,53.57787416,-17.6328228,78.97147647,-10.53536407,99.08330394,14.31518584,-25.97221874,3.666636661,-18.6150393,-17.53129561,-20.99266437,-54.63594092,-36.3634083,-10.11508874,45.11334005,-15.09464311,51.95107806,45.23139492,-40.43394018,-30.80774617,-20.25127979,-10.88716758,46.9644404,97.90747745,32.87813343,-28.7063695,9.493824993,36.32297451,-25.27805611,-17.0921315,-17.85476595,-34.99869402,-11.80563446,-14.03923258,13.35185811,59.76394929,-10.22606032,-48.67889223,-17.59740633,
1.111111111,-37.97992323,-35.93617013,-39.18565204,-4.615012553,97.53202383,-3.563206565,-39.40798501,-40.78260138,-16.47348372,-5.224290412,98.07502936,19.23447444,-32.79144125,2.040011918,90.77438414,1.092958966,-15.04969757,-25.60410033,12.66496265,-12.38811534,-20.31941659,-5.006233073,12.24595051,20.80363215,11.3416539,-60.95290523,-17.00793798,-13.64728958,3.837916056,-11.44106239,28.67293671,97.00612084,32.28157188,-17.56377041,-5.893427148,-21.36267131,-10.03437877,94.82982308,21.53904122,68.29523788,97.29900177,24.74149115,39.86227114,66.04625434,-31.25578431,-70.18177284,78.04732744,-6.133447865,-7.636398903,-4.847737538,-7.388123805,25.18246557,-15.83834409,-7.638615645,85.51774779,20.57829255,-5.104879603,-35.49862839,-25.30604893,-10.61570007,37.28587658,-31.67918202,-47.15869101,25.77655241,-43.35476184,35.16667128,-30.99420876,27.61866497,39.90384882,-17.70484081,56.03951343,-30.69273186,-5.483942476,61.59023525,-24.32181551,-13.85879354,-19.45606695,-38.09664995,9.487932611,-53.92418743,40.98340214,-36.21463604,-42.210923,22.7529164,-41.6035357,-41.28875835,-6.809554158,0.439191998,-2.299856416,-11.42313669,57.78534969,-6.585248159,-66.94434156,67.70904197,-70.10821204,96.6017906,-29.18803337,-27.41012704,-58.56716806,-40.76449382,-40.84241003,-57.22134255,-58.37119697,-96.0920887,-49.80041349,33.59118484,-33.56078571,17.12016953,26.05220091,-0.106396951,-5.246505945,-27.69581982,-3.929013607,31.56300219,83.5378388,17.2358633,-47.27640039,-8.830651766,35.89325479,-3.300961704,-11.78202349,-26.0099963,-12.7618789,-7.92635147,-31.60579708,-26.26735591,-19.20295255,-21.16266338,-69.7894639,-45.0144691,
0.37037037,-30.58521406,-40.12201591,-35.85920871,-10.24816048,99.56295003,-7.133361036,-16.71078141,-61.16027348,-18.39751906,-22.32041335,91.69150766,9.663467513,-18.44241322,3.1538146,59.39550551,-57.13476398,-12.1828849,-47.17467435,16.27573564,-41.82371828,-27.092021,1.174196014,4.620357096,18.59312932,-1.453181139,-55.30051695,3.551448571,-8.103929976,-5.277735838,-9.88259376,27.70878122,97.40803044,29.72046706,-27.41483137,-16.62954436,-14.54944838,-16.9480791,36.91635924,15.77334864,36.81374403,25.99425194,0.494370192,-4.377714861,51.36800249,-24.74077974,-27.13707778,40.96123473,-29.96342376,-1.22336446,-29.47795727,-13.88982793,-17.49425033,-11.39820998,-4.732466957,42.57502286,-1.163512428,-20.19645875,-31.68361551,-24.73191277,-88.11964865,20.19701294,-20.42034969,-33.36612264,-0.662528748,-38.96782953,9.643104547,-44.75352601,0.893624096,-3.511042146,-37.70428662,39.7974452,-23.98487074,-32.67006567,33.19377096,-25.31269916,-14.74770706,-35.78902159,-45.2500762,-22.59940702,-29.59322785,-12.49993073,-35.68261797,-40.46856383,0.326138158,-37.13458395,-45.09047078,2.250270165,-4.100695503,-20.18989126,-37.31729164,35.86492162,-27.74068067,-58.93786034,53.40315295,-28.16331711,93.0861166,-64.84296489,-29.7924743,-41.67351631,-45.04988556,-44.21169599,-62.87853187,-64.43449504,-64.42268956,-43.23656277,8.28022094,-54.37858131,-11.57424692,26.73928025,-8.889679201,-34.93258329,-28.18928918,-8.825929571,1.704564739,33.58646265,-1.388472827,-76.15026024,-4.578315387,15.22893053,-1.490000015,-7.229827743,-8.011350976,-14.44770243,-1.33180649,-27.05596243,-11.62382997,-34.39425309,-99.27484797,-37.60298443,-46.42168314,
0.12345679,-35.36323516,-34.39907967,-38.0397821,-19.13079031,97.13011423,-6.977300391,-33.74063202,-30.32012474,-57.06849165,-12.59975923,59.13469183,8.853234851,-44.86796976,4.113694455,11.16849071,-31.15601121,-31.83156139,-38.24715036,-11.93276031,-31.85293957,-20.3578973,-8.892784467,-8.300609144,6.048418884,-27.02361085,-39.23695965,-1.658411575,-3.248947459,-9.839837419,-3.028752303,24.54053635,96.68331046,9.537336307,-3.477693883,-16.48203499,-44.99410096,-12.24701942,5.039369237,-34.75181948,-32.82137069,-0.401375151,-32.40022073,-16.27466673,37.04676608,-23.17354318,-77.43273574,30.03934717,-26.07525839,-39.11191776,-18.24572584,-23.70777799,6.965280279,-30.31588573,-17.37454626,3.145833911,-15.71642329,-16.10213639,-24.11122503,-24.17772729,-32.26883538,13.93471695,-41.54368367,-52.25054726,-26.42772036,-39.40896118,6.14508576,-21.32034692,10.41453074,-87.99994458,-35.90207542,13.7418604,-28.57130982,-34.34813932,-16.19080606,-43.38357948,-9.325556264,-18.93956607,-51.6874948,-16.55435174,-30.17623098,-29.6641636,-36.84197401,-28.92377179,-31.2713015,-55.75964975,-26.7469312,-11.35387514,3.633517138,-11.91424494,-24.0219523,15.81920487,-43.23420168,-72.47403162,46.76374712,-45.38043919,-28.44664879,-50.99040657,-23.214457,-34.48397479,-55.20968758,-92.48197081,-51.29026593,-70.2357113,-48.67180894,-53.70094636,-30.83607934,-81.3187024,-30.38747084,0.235962169,-24.60750445,-35.43785813,-28.46789867,-8.207322058,-13.89992784,6.91078446,-9.666480238,-90.46323255,-12.84923951,10.8396505,-23.82834232,-10.34883738,-40.55199505,-27.56595947,-25.85888606,-12.1291048,-26.22957835,-47.13945674,-80.81814976,-40.66768883,-32.20787692,
0.041152263,-15.72738557,-28.76379393,-14.35704484,-3.672235235,99.00070414,-38.42031354,-25.10598896,-25.46728004,-17.99560946,-11.60781212,5.101365931,-17.93361276,-23.70999443,6.741071608,-9.008226587,-41.89212842,-49.26759724,-29.86476971,-5.282011472,-25.65113231,-18.73101852,1.159231294,6.04414325,-7.035021452,-9.467857253,-39.782103,-5.878462429,-19.47284104,-6.273958582,-2.628980515,9.479615246,56.50090122,-2.87910511,-6.423605776,-4.888653135,-5.085332304,-15.13948588,-9.957417357,-23.25677721,-20.32155441,-14.98128742,-8.191580475,-3.864638769,28.10000174,-31.11391283,-45.98603453,7.388677991,-19.19227465,-43.93111474,-10.96151182,-21.53537089,1.707168389,-15.15337083,-7.851422871,-14.37751115,-3.486657984,-26.94200449,-21.32699715,-22.77896312,-30.83903683,-4.29133531,-44.57840339,-34.42794203,-20.26961124,-32.54814486,-1.4738563,-28.51145778,-9.205852199,-14.1159356,-16.71839065,15.6549087,-14.20903877,-16.01124997,0.277369836,-27.86860262,-18.32552855,-15.86272826,-44.7003242,-21.81689712,-39.85674305,-26.0176231,-29.78386766,-31.18928205,-24.02255535,-34.67400039,-16.18858932,1.669483776,2.520712683,-11.80091227,-21.686827,24.14915642,-23.25931785,-56.56731858,13.58796785,-17.93740436,-25.70305364,-21.03988631,-37.6313176,-35.69285665,-41.16588037,-49.788608,-53.29247651,-43.49156129,-43.33100667,-56.0903769,-49.521804,-45.78654794,-50.43082649,10.31076469,-19.43670119,-26.98985171,-20.76363792,-6.507331945,-27.59429264,-9.945089729,1.121373686,-27.48568216,0.660959698,-1.936247419,-13.04284949,-7.029134466,-12.4950749,-22.68084899,-12.52104697,-10.1528663,-25.43388854,-44.09128002,-65.19949059,-2.982213558,-27.24248913,
0.013717421,-28.54573659,-109.7977491,-15.3425785,3.470211524,95.78328949,-31.22442135,-43.91877899,-23.65868682,-17.11269102,-15.48795006,-10.7398584,5.537480609,-20.21038792,3.607031815,-33.56960666,-25.22143108,-44.91500173,-28.70393505,-14.49600295,-21.92064156,-20.48830414,12.49393728,-18.59419823,-10.16050998,-6.173481181,-37.55449763,-16.4456921,-6.26113168,-17.43977703,-13.10000842,6.153171919,-12.57624324,-5.733090869,-5.86991116,-10.7398584,-14.74612754,-15.33402723,-13.20476145,-24.81310803,-31.27145333,-41.64414165,-17.80961938,-9.807770163,1.755682251,-9.489595168,-14.65017041,-35.192718,2.383274682,-5.847488154,-1.821884785,-13.51519854,1.037712322,-23.82526532,-8.91102552,-10.87727562,-1.163512428,-11.57554934,-12.96766328,-12.95436283,-13.84992657,1.649533099,-31.01859292,-43.42348084,-28.92820527,-25.47673806,6.433262213,-18.22134168,-10.17013494,-32.30873673,-46.77297792,6.767990246,-30.65948073,-30.43337305,-4.309069245,-31.99395938,-28.60012746,-15.36617806,-23.77206351,-39.95871318,-46.03480285,-39.59960099,-31.14273047,-42.23309042,-26.25481449,-41.08703483,-33.91587464,-22.02970434,-2.012524592,-20.14266931,-18.82753807,-79.49121303,-17.02602077,-17.78629412,5.657041752,-17.40615745,-39.8790823,-21.7694654,-18.19240287,-60.06882599,-26.29096688,-24.53903263,-40.79991028,-27.73595848,-37.00326569,-78.84899454,-32.17009936,-45.17266262,-26.99221281,-12.08660505,-16.00130451,-22.00321404,-14.3863139,-48.87014112,-30.19149975,-23.01612482,-13.06646046,-22.45654474,-17.50296244,-0.510144602,-32.48648641,-9.711341089,-21.69627138,-16.04616536,-18.10976447,-27.83040238,-35.35758082,-50.9620734,-49.14875061,-38.01381537,-36.70340633,
0.004572474,-5.388902324,-45.03258167,-6.368022533,-8.798720516,-4.843758977,-25.54210364,-3.723542844,-15.22713638,-14.20953547,-6.246166961,-12.3197052,1.710788093,-19.78923796,6.606389133,-22.3396537,-16.1827406,-9.989484612,-38.81367187,-9.848388687,-15.11596989,-13.94658397,4.013217054,-7.191082096,-1.213745629,1.400804621,-9.662398604,6.779552314,7.442275599,10.84781816,-4.161795339,9.610022086,1.978015224,6.700453084,3.448833353,-12.15936892,-5.765158125,-7.238114071,0.823594018,-6.50056719,-7.890148271,-15.4558828,-1.818747854,-7.109845048,17.26768275,-27.99495691,-36.27670481,-9.216935908,-16.44794813,-19.62010585,-28.99470753,-7.982210646,-13.22702208,-1.87286985,-23.20901106,4.001496301,-1.533708332,-6.62999806,-16.60090332,-12.36692621,-15.23317354,-1.53149159,-69.36379506,-23.29103051,-37.96807892,-15.69868935,3.653467816,-3.987641664,13.18989166,-42.79170939,-29.47130705,-4.714733021,-0.921887556,-7.113247804,-19.37183075,-29.62869572,-21.87231566,-12.43342847,-30.7636676,-10.21668652,-11.29845659,-23.95383635,28.35018981,-8.126298872,-19.74646014,-4.014242567,-3.912272438,5.542131952,26.57014603,-9.170649789,-24.06209096,-1.185418453,-9.083289186,-23.69139867,-10.21897703,-9.267454781,-22.37390633,-19.86878201,0.068324255,-12.06299408,-21.57113322,-35.05063816,-47.55028768,-29.9719177,-31.84662902,-21.88988137,-23.33723406,-38.35853559,-23.37028943,-12.57063001,-11.82216215,-12.78548988,-10.65578004,-21.42474519,-9.345370995,-15.26464212,-5.378727398,-3.130962693,-3.114435012,-4.625537334,-5.371644106,-7.777602335,-2.979852461,-8.183711084,-31.36732625,-4.129706885,-21.53335567,-27.00874049,-20.72822146,-26.49874345,-19.42253461,
HillSlope,-0.08903,-0.1424,,0.1286,2.049,0.7249,-0.000001181,-0.2923,-0.3033,-0.4327,2.683,0.2085,-0.2858,0.1596,4.653,12.49,4.359,,0.7729,,3.732,,0.6243,0.4981,,,2.831,3.826,,-5.94E-07,0.9077,2.752,2.133,-0.105,,,0.7514,1.253,1.096,10.68,1.753,1.265,13.75,2.529,-0.5954,4.35E-07,0.8949,-0.5809,0.4304,0.000002701,0.3225,0.2784,0.000001705,-0.3248,0.4338,0.06064,-0.3556,0.2577,-2.584,-0.8556,0.3638,0.9693,13.87,1.267,,1.802,-0.3184,0.3374,2.271,0.3547,0.2686,,0.2843,0.4657,0.3236,0.1389,0.3506,-0.4728,-0.07114,0.2367,1.702,0.3103,19.25,-4.87E-07,0.2708,,0.1502,-2.778,-0.1738,0.000001062,0.6688,0.1469,-0.497,0.1775,-0.4148,0.2806,-0.9284,-1.964,-1.652,-1.493,-0.000001181,-23.57,-0.3749,-0.4159,-0.493,0.3475,-0.3168,1.384,0.2582,-0.09101,-0.7018,-0.2164,3.46E-07,0.3264,0.4553,0.06606,-0.3824,0.2759,0.2916,-0.2296,0.2719,0.2127,-0.2163,1.10E-07,-0.2691,-0.6138,-0.05546,3.527,6.48E-07,-0.4129,
