Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,dox
"Name","ABT-263 (Navitoclax)","ABT-737","Roxadustat (FG-4592)","Selumetinib (AZD6244)","Bortezomib (PS-341)","PD184352 (CI-1040)","Gefitinib (ZD1839)","Imatinib Mesylate (STI571)","Lapatinib (GW-572016) Ditosylate","Lenalidomide (CC-5013)","Panobinostat (LBH589)","PD0325901","Perifosine (KRX-0401)","Rapamycin (Sirolimus)","Trichostatin A (TSA)","Vorinostat (SAHA, MK0683)","Y-27632 2HCl","Olaparib (AZD2281, Ku-0059436)","Pictilisib (GDC-0941)","SL-327","Crizotinib (PF-02341066)","SB216763","Refametinib (RDEA119, Bay 86-9766)","OSI-906 (Linsitinib)","U0126-EtOH","GDC-0879","LY294002","OSU-03012 (AR-12)","GSK690693","Palbociclib (PD-0332991) HCl","Docetaxel","Gemcitabine HCl","Paclitaxel","Cisplatin","PD98059","Regorafenib (BAY 73-4506)","XAV-939","Doxorubicin (Adriamycin)","Fluorouracil (5-Fluoracil, 5-FU)","Methotrexate","Epirubicin HCl","Etoposide","KU-0063794","Vinblastine","CHIR-99021 (CT99021)","Vemurafenib (PLX4032, RG7204)","Camptothecin","Ifosfamide","Mercaptopurine (6-MP)","Ruxolitinib (INCB018424)","Tipifarnib","Pimasertib (AS-703026)","BIX 02188","BIX 02189","AZD8055","PD318088","Fasudil (HA-1077) HCl","BIRB 796 (Doramapimod)","Metformin HCl","Cyclophosphamide Monohydrate","AZD8330","RAF265 (CHIR-265)","NVP-BHG712","Torkinib (PP242)","SB590885","BKM120 (NVP-BKM120, Buparlisib)","Honokiol","TAK-733","Gedatolisib (PF-05212384, PKI-587)","ICG-001","Trametinib (GSK1120212)","ZM 336372","PAC-1","PF-04691502","AZ 628","CPI-613","Lonafarnib","Dabrafenib (GSK2118436)","Alpelisib (BYL719)","GW5074","Niclosamide","Nifuroxazide","JNK-IN-8","QNZ (EVP4593)","Tofacitinib (CP-690550) Citrate","VX-702","Binimetinib (MEK162, ARRY-162, ARRY-438162)","CZC24832","Duvelisib (IPI-145, INK1197)","IPA-3","PF-3758309","SCH772984","Encorafenib (LGX818)","(+)-JQ1","LGK-974","Erastin","FRAX597","SC75741","TAK-632","EHop-016","SH-4-54","JSH-23","Sorafenib","FTI 277 HCl","EHT 1864","JNK Inhibitor IX","FR 180204","XMD8-92","GDC-0623","GDC-0994","ML141","CCG-1423","Erlotinib","LY3009120","BI-847325","Ulixertinib (BVD-523, VRT752271)","CEP-32496","AZD5363","Cobimetinib (GDC-0973, RG7420)","Nutlin-3a","Deltarasin","Salirasib","ABT-199","LDE225","PIR3.5","Fl172","FRAX1036","FRAX716","SCH51344","Kobe2602","#N/A"
10,-8.329493417,8.424193697,0.741395145,28.90996164,102.1584037,79.54728182,24.06944263,58.78186204,91.65874849,14.76466345,101.9753589,64.6647197,-12.3361415,83.09123323,104.4261258,98.62970602,-5.87872644,-11.42091732,94.27222199,-6.016010067,97.97887993,-7.943065429,69.98318911,54.02269629,35.1284015,-9.45318533,61.68007195,95.51285922,60.48011135,62.74274891,71.83397579,95.41625222,52.25326287,3.654858792,25.67616953,10.56480137,31.09124594,98.29920839,68.13240243,85.02337317,99.23985547,90.37235006,99.33646247,96.81451139,-16.60622813,-46.42182631,94.48706638,-0.810133546,75.00360618,28.47946488,46.72843586,71.71342406,15.7910627,12.77998249,101.6310018,42.93372336,-12.58608717,-40.23327821,-33.07324077,-20.095002,82.55545976,1.336804216,97.26198344,99.3606151,-35.22554588,103.4934703,17.61059245,81.92211312,98.96879896,36.71833854,66.12601854,3.183170692,93.69269941,98.52867671,19.23689781,1.830599901,47.95219038,-55.11692424,51.0974542,24.40565047,95.49075978,3.145599281,91.19688426,68.128038,-24.78069366,-40.26011493,-12.67196468,12.27545211,54.00507282,5.401213906,101.2284108,86.42351349,35.92738876,98.77084542,3.259026197,103.1147261,94.94466015,68.19111587,26.17448416,98.04488181,97.30701715,-36.06201931,-55.18699514,-42.73850434,-29.87347704,85.25721129,-19.21609319,53.68374466,67.76267833,4.038544502,-8.487303075,-10.04633969,21.92581187,90.88640455,100.1394653,48.32827539,22.18763482,83.97189866,80.93713274,-2.274958718,89.64869609,1.015679624,-27.7788935,-10.29031106,-26.96962259,55.42129692,92.18361821,97.83661356,-0.942041921,-47.15974175,100
3.333333333,-1.160237323,-0.738217283,-14.08015203,-41.53179292,99.27036294,34.29453058,10.95122936,-21.55956743,-21.34093054,-6.783781465,99.76356709,55.91924418,-4.353352803,92.4722811,102.9109214,55.61416945,-28.33222638,0.919355403,81.0624863,-8.146448581,29.8302704,-15.24452057,31.37598236,35.01145619,-15.6207794,-54.18730953,5.683605729,11.02241346,23.73894501,40.66550781,27.97948372,96.41282966,33.39964472,-18.74271078,-5.731273655,15.09007649,2.90742571,97.20602395,48.98387871,83.94035789,103.6227624,73.56781716,97.22636227,101.6906224,-35.01621944,-32.26277176,93.172067,-8.678660445,41.58651991,-23.04704142,34.71631908,39.98705128,5.088577956,0.386784256,90.64941513,50.95790325,-19.73002258,-39.33693169,-18.05004378,-7.653497664,75.30954482,-0.933582468,39.03703132,66.36218169,-122.7830352,94.3206787,-27.87765138,69.90999634,96.87016729,-69.19546862,76.81776859,-20.68540988,48.2688637,99.01173771,7.439474805,-14.93161668,17.20267428,-42.24603236,51.2423725,-27.99573296,75.74966706,-20.24528764,-3.12882633,52.51980047,-21.39926669,-57.15114777,-1.31466392,-1.196582343,44.85912141,-25.05355469,93.33801937,68.37558204,-3.530518737,89.82721173,4.800211244,95.78963419,-14.84245995,-18.13904881,-9.790467265,-35.77044376,74.3677571,-36.51425894,-40.82838696,-30.32571667,-29.3617322,84.10876066,-27.16598979,5.645185284,54.29664837,-19.9718094,-35.6990375,-36.15127713,-3.108031716,50.60137457,102.0138796,31.99409411,-24.98214844,69.43477485,65.87636304,-29.1118103,-40.07862126,-34.42562592,-57.55530266,-27.30880231,-59.72724297,3.657711132,73.48707993,34.6599277,-3.947055236,-53.16976838,
1.111111111,14.19010605,-3.097461842,-14.96486874,-53.35852318,96.78400392,29.44892699,17.1493309,-8.82269756,5.703944044,-2.060207769,97.49584495,21.29834719,0.848171299,86.51315476,98.97545737,-59.74475414,-23.99508067,5.505645471,76.08976824,1.463405333,1.539674015,-30.33555042,42.58239401,51.34820784,7.946243291,-68.31735399,2.719296294,12.96472256,4.554829238,2.815903291,66.65279,99.35680078,52.17699419,-6.229562377,1.590519803,-1.312774686,-9.244717599,96.90603381,30.87260906,80.24895369,99.53476104,29.8302704,91.09944483,99.87034324,-3.504540438,-35.85889252,85.71145827,-5.581702723,15.5978383,5.99565916,-0.332439894,45.46174258,-1.856765705,2.050661022,93.65512799,35.30135962,-30.52375218,-56.31384205,-21.59785843,-111.2432447,53.60400404,-16.61159548,-39.33693169,59.9213684,-192.4941043,64.74661103,-9.510598828,48.98808785,88.25021218,15.01816511,67.63960966,-3.992968779,15.90914428,94.73933156,-4.959090772,1.578334714,31.3348921,-36.84648389,38.75256207,-8.95239501,7.546821693,-13.53610713,-0.284133794,51.89182117,0.751763676,-32.59554712,17.86822499,10.37004485,58.20019042,-27.74319037,67.44135017,33.74949792,-37.53774862,80.43133842,2.068921914,92.82032401,-150.5500513,-17.01440026,-31.55152408,-11.97430862,-9.147810952,-34.04479255,-77.2396275,-43.13123875,-34.96117285,49.42317133,-26.30316419,-90.58664703,40.36647774,-5.476339239,-18.47227801,-21.51894497,31.99409411,39.14662085,99.8776424,28.84626828,-13.7178114,7.400589102,41.20550126,-12.61101442,-10.87941268,-7.148435757,-33.42593832,-37.27592568,-39.8108478,-22.75070291,41.52682941,-18.39492123,-28.95709674,-34.0864462,
0.37037037,2.592181825,-52.65685131,-8.298985944,-0.702625232,96.88061091,-69.54273747,-3.666934666,-8.395592941,-11.67514626,-57.46686285,95.30947607,20.25600854,-81.09998506,90.42828043,93.05700766,-73.81378366,-33.08122297,-30.19318222,55.39553256,-40.29624027,-15.60552567,-46.11299841,12.48168757,58.95982229,-40.42843932,-111.5922041,4.951426383,4.214162459,12.70032446,-12.90561433,40.42144802,96.67722776,50.30586919,5.093794589,-10.19044925,-24.1323643,-26.51194717,74.64066328,13.1935286,60.63773329,55.4107863,29.3268971,53.74812903,89.16730489,-3.273744628,1.599804092,54.83312591,-29.78305865,-23.81993901,46.64792569,1.444151104,32.09168766,-11.56629174,-15.91920805,93.01104667,15.63540971,-37.33491223,-49.41680448,-20.70151191,-17.57235013,15.39387921,-159.404426,-33.12154687,55.96563558,-195.263654,30.26142322,-9.328109118,49.14374084,75.42762639,-6.091600441,62.2293265,-24.44255096,6.253291692,89.55984421,-17.39522776,-10.52502692,28.89811774,-142.7012503,6.591434389,3.859456087,-3.590417948,5.437455342,-7.277783555,22.33385553,-9.607211027,-22.682062,13.47236992,-6.295559529,-32.43815177,-18.67459574,40.00944645,-15.84214754,-50.08144776,52.32107526,-6.041638774,81.55003645,-51.06923432,-53.06860951,-46.14220259,-86.53434195,-19.91230419,-51.35485934,-57.15661772,-29.29032594,-22.25085911,15.17197007,-50.43252853,-42.94082206,33.13659422,-9.43343598,-17.3297779,-40.04291814,6.811487482,8.787060591,95.55756386,-3.685232293,-64.10087621,-10.20105324,26.03762217,-10.11774594,-23.84559885,-31.12903706,-22.00688773,-5.613201232,-23.82179676,-23.38145818,-8.534907246,-19.46601508,-32.09302153,-23.2207941,
0.12345679,1.443067018,-42.12160406,-8.354916311,12.75117025,97.28229264,-3.107630999,6.064949138,-65.71913422,-4.24149207,-32.63378003,90.723186,-15.79873966,-24.25439419,83.41664628,-6.254985271,-110.0922533,-23.37476206,-37.23023926,12.57320999,-54.56356836,-19.29692987,-49.77389514,26.60156287,48.94320208,-2.380536232,-29.29829635,-5.034686361,1.773564639,-3.346606203,-2.85340206,58.5988172,95.73658068,41.4587021,-0.855162595,-23.05951817,-14.98520705,-18.73254162,21.64409855,-22.09853278,13.10709076,8.780114212,-14.90385379,15.70531052,75.29657395,33.66968692,8.754474185,28.94105649,-32.61701649,-6.859130691,8.094290823,-89.2210306,32.69283023,2.963109571,1.154314506,90.60110903,19.22616312,-33.46505691,-10.8363329,-43.76499083,-1.846031017,-20.68540988,-18.10908457,-39.6160336,-18.13055394,-142.7871278,-31.17320085,-11.65216925,10.70818755,15.23285888,-71.7556919,31.01821878,-20.64247113,-3.917825957,75.13242245,-10.00976186,-41.19403285,4.95976169,-45.32688805,-0.815500891,-8.823578744,-13.58978058,-21.1953076,3.252946169,-35.2523826,-25.39793827,-64.20920567,-2.651132677,-4.658519485,-150.4845956,-30.1412505,29.60793502,-10.99247259,-50.78360929,34.30289642,3.10431264,70.41661088,-27.36830752,-33.48544354,-20.71562458,-47.0347808,-34.71720147,-177.9522024,-68.85534282,-54.0920992,-41.1437646,-53.94928668,-58.53713869,-79.45917198,16.19545975,-1.60850032,-24.10742179,-23.54807277,-8.653917675,-9.933279779,44.51399116,-5.012198569,-27.78484402,-11.20074084,-0.971794528,-8.993097395,-24.5001562,7.543401616,-51.47386977,-97.79867898,-52.94364856,-45.20797072,-28.09427114,-54.05639607,-104.9452552,-46.7848589,
0.041152263,13.64097154,-5.507552188,-4.765203685,5.363277265,99.01104943,6.990342478,-17.05463062,-25.36283236,-9.82944416,-12.91578349,1.753226324,24.6541692,0.141414848,90.8655542,-25.75434493,-60.87861521,-134.5948385,-20.19690031,6.542899545,-36.44721413,-51.40096035,-14.16150529,14.13926026,27.22188148,5.714113202,-17.18174509,4.33619235,12.00882174,4.448053083,-3.580496827,2.902341131,85.0894727,7.702183509,4.96668012,-3.407621148,-6.839711831,-9.371832069,28.59471776,-0.336535559,-3.900825291,-3.366944518,1.22443013,-1.831401723,48.36864467,-16.23051402,-100.1972499,-2.345194046,-12.48410763,-1.910439149,7.326760573,18.77530619,16.86453158,-4.610213385,1.272396083,63.09883629,-28.69885508,-1.164378277,-6.955742891,-19.76222664,-2.81215301,18.91485714,-15.53275925,-7.932599573,-6.504885961,-28.822304,11.8138605,12.9141661,20.54652984,21.64683545,9.420024891,30.74985156,-11.00808792,9.650820701,44.65127357,-6.585396127,29.04303604,21.7863864,-2.769214254,-23.28857192,-85.2330937,-39.66970704,14.52436942,-0.573970392,-32.41305741,-45.7562756,10.93361601,-2.876561142,0.837641186,17.62358489,-16.90729088,22.33044733,-9.195415123,-14.95551985,7.936136029,7.51959953,-4.42904747,-8.421847339,-26.76730486,-27.83244819,-16.42529864,-19.99561149,-17.32382738,-21.7212627,-55.51427381,-16.79423097,-11.65298047,-21.01910117,-16.63951741,-16.6633195,-7.618526948,-3.405557787,-19.09113224,-3.554320822,-10.4390741,35.54655539,-10.24865741,-16.9965487,-27.29690127,-8.21357909,-26.88631529,-24.54180985,6.389000461,-24.30973952,-6.78545395,-35.1158864,-29.2248702,-31.62293033,-39.76324363,-0.424346558,-15.17568914,
0.013717421,-11.11075802,8.3275867,-1.76021762,5.281924005,96.51960582,-1.882247511,-2.05512319,-120.6427543,12.69523988,-13.38864931,-52.86531904,14.8968625,-90.45561004,81.78958106,-38.97933437,-12.45817139,-11.16668838,0.710887672,-5.060109255,-55.45336965,-10.95313607,-35.02861665,35.68770517,-32.43548146,-18.77321825,-43.46901744,-19.51048218,-2.716118433,-0.66703318,0.049892429,11.01732888,23.79995996,-6.17363201,-2.919501584,-9.798936687,-8.207463526,-2.197491396,3.395545273,-10.1802801,4.432799347,0.461743311,-5.58382087,-22.92223455,-17.76138707,13.16643129,-6.413641106,10.57400394,-69.15252986,-0.783296824,-82.2595849,22.95646748,16.60153171,-5.796396499,12.53308465,60.53861301,-14.765229,-27.07254972,-12.48410763,-36.60495339,-13.3267807,9.88161651,-8.329783059,-17.01951365,-32.46136351,-36.13262708,3.102660526,-23.32614333,-1.915806494,7.621964515,5.421353309,26.16077209,-3.950030024,8.969167961,20.89540723,5.169088122,29.82130098,-3.198601807,-7.352926377,-22.42979681,-7.406599821,-23.85751042,4.830945424,-8.614252312,-20.00912449,-10.43378207,1.519293926,-11.57702642,1.583702059,-8.237381176,0.66459886,21.16414513,9.025081448,-12.84903527,-1.52519302,5.776096755,3.580354354,-30.20075572,-2.959268681,-6.190401809,-22.42937475,-54.21706014,-88.17073534,-12.06356645,-24.26213534,-14.85436099,-9.951131343,-49.15911694,-10.59973818,12.50018595,-49.98623942,-33.29502685,-28.57031285,-34.17570402,-45.02945508,-25.53554693,30.47671115,-22.69119769,-0.608812722,-9.492941194,-21.78671844,-37.89477991,-32.07516996,-32.8903914,-20.82273397,-47.51082251,-38.57908987,-31.67648503,-38.43627735,-45.09491082,-21.98308564,
0.004572474,-1.144983586,16.0459773,-57.42618622,-6.493960474,26.25581151,6.766621011,0.975285769,-11.64463879,1.336290863,-16.54108816,-25.1391109,12.80710061,-2.075461505,83.33529301,-28.9983062,-16.82582458,-16.18008307,-2.624596014,-4.333014488,-24.57980723,-1.755133041,6.486969178,-7.714259383,-9.168448917,-9.966727788,-33.50832759,-16.82074,-13.20560448,14.61212608,-25.46452394,-4.643173794,8.414024539,1.926102003,24.85755235,3.461644798,-27.54920124,-22.28157762,-15.94110787,-15.13774442,-11.15143465,-25.93230519,-17.28343667,-23.89847367,7.86489003,-91.96911093,-3.150295707,9.677657423,20.29426466,-61.51479877,-16.69747299,-28.34461035,3.258313513,16.76791938,12.81218656,-0.708154003,-26.42846839,-12.73100547,-7.089926501,7.278454473,-5.742723055,9.47906568,-28.22652877,-21.1953076,-22.37075602,-23.75553088,-10.45525144,0.338478157,-5.624641478,-6.080865753,-34.5277911,-0.761827447,-31.68846591,-7.658865008,-8.651823723,-2.844357076,31.47444305,-17.84071735,-19.2254922,-23.35298005,-2.801418321,-26.0903257,17.36369461,-22.50493963,-24.6035713,-20.42777735,-58.34806558,-52.74455802,2.828925961,2.045119829,2.455705806,-20.138424,-0.329138216,-22.79235656,-5.958331474,-8.743175496,-13.05730352,-23.0839321,-5.952380952,-17.43688728,-23.0541795,-29.20701864,-10.69494652,-9.362029723,-9.641704229,-6.630740394,-8.398045254,-16.84778566,-20.53115842,-17.45473885,-12.60506389,-24.74412758,-31.01002663,-41.02475417,-46.35047084,-13.61665253,-35.65738385,-36.37144642,-21.5546481,-26.4459767,-28.68932328,-27.04697937,-9.957081864,-42.63139495,-5.958331474,-40.03101709,-32.89634192,-14.86031151,-34.97902441,-29.01065143,-25.46414067,
IC50,13.711,13.4595,25,25,0.0034665,2.55355,15.023,25,6.971,19.775,0.062465,1.6159,25,0.0055,0.2222,3.043,25,25,0.44745,18.45,2.9185,13.1175,3.629,13.627,25,25,9.2615,6.1295,16.2485,4.413,0.71101,0.01786,1.86035,25,10.665,25,10.7685,0.15585,3.9195,0.37565,0.23345,1.29075,0.66325,0.037145,25,25,0.1936,25,2.3416,25,6.5205,1.4736,25,25,0.05251,7.916,25,25,25,25,0.692395,25,3.0545,0.6646,25,0.8609,25,0.5506,0.2575,25,0.204745,25,1.9184,0.04439,13.0885,25,10.292,25,8.139,25,1.8965,12.82785,5.8275,1.3674,13.1615,25,15.2655,25,4.2775,16.1265,0.223575,1.6135,14.059,0.21195,25,0.23325,17.5,7.529,17.085,5.7665,3.276,25,17.795,25,16.422,1.471,25,6.1255,1.4087,25,25,25,25,1.54675,0.15915,6.039,25,7.014,1.15165,25,7.246,25,25,25,20.775,6.8525,13.3235,2.496,25,25,
