Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,dox
"Name","ABT-263 (Navitoclax)","ABT-737","Roxadustat (FG-4592)","Selumetinib (AZD6244)","Bortezomib (PS-341)","PD184352 (CI-1040)","Gefitinib (ZD1839)","Imatinib Mesylate (STI571)","Lapatinib (GW-572016) Ditosylate","Lenalidomide (CC-5013)","Panobinostat (LBH589)","PD0325901","Perifosine (KRX-0401)","Rapamycin (Sirolimus)","Trichostatin A (TSA)","Vorinostat (SAHA, MK0683)","Y-27632 2HCl","Olaparib (AZD2281, Ku-0059436)","Pictilisib (GDC-0941)","SL-327","Crizotinib (PF-02341066)","SB216763","Refametinib (RDEA119, Bay 86-9766)","OSI-906 (Linsitinib)","U0126-EtOH","GDC-0879","LY294002","OSU-03012 (AR-12)","GSK690693","Palbociclib (PD-0332991) HCl","Docetaxel","Gemcitabine HCl","Paclitaxel","Cisplatin","PD98059","Regorafenib (BAY 73-4506)","XAV-939","Doxorubicin (Adriamycin)","Fluorouracil (5-Fluoracil, 5-FU)","Methotrexate","Epirubicin HCl","Etoposide","KU-0063794","Vinblastine","CHIR-99021 (CT99021)","Vemurafenib (PLX4032, RG7204)","Camptothecin","Ifosfamide","Mercaptopurine (6-MP)","Ruxolitinib (INCB018424)","Tipifarnib","Pimasertib (AS-703026)","BIX 02188","BIX 02189","AZD8055","PD318088","Fasudil (HA-1077) HCl","BIRB 796 (Doramapimod)","Metformin HCl","Cyclophosphamide Monohydrate","AZD8330","RAF265 (CHIR-265)","NVP-BHG712","Torkinib (PP242)","SB590885","BKM120 (NVP-BKM120, Buparlisib)","Honokiol","TAK-733","Gedatolisib (PF-05212384, PKI-587)","ICG-001","Trametinib (GSK1120212)","ZM 336372","PAC-1","PF-04691502","AZ 628","CPI-613","Lonafarnib","Dabrafenib (GSK2118436)","Alpelisib (BYL719)","GW5074","Niclosamide","Nifuroxazide","JNK-IN-8","QNZ (EVP4593)","Tofacitinib (CP-690550) Citrate","VX-702","Binimetinib (MEK162, ARRY-162, ARRY-438162)","CZC24832","Duvelisib (IPI-145, INK1197)","IPA-3","PF-3758309","SCH772984","Encorafenib (LGX818)","(+)-JQ1","LGK-974","Erastin","FRAX597","SC75741","TAK-632","EHop-016","SH-4-54","JSH-23","Sorafenib","FTI 277 HCl","EHT 1864","JNK Inhibitor IX","FR 180204","XMD8-92","GDC-0623","GDC-0994","ML141","CCG-1423","Erlotinib","LY3009120","BI-847325","Ulixertinib (BVD-523, VRT752271)","CEP-32496","AZD5363","Cobimetinib (GDC-0973, RG7420)","Nutlin-3a","Deltarasin","Salirasib","ABT-199","LDE225","PIR3.5","Fl172","FRAX1036","FRAX716","SCH51344","Kobe2602","#N/A"
10,99.88972665,102.466755,31.0617748,43.42977272,112.335948,95.1919734,30.93574812,15.2954022,70.49074356,-11.2788449,114.0307896,83.99732737,2.80572335,38.79285994,113.300704,109.7371909,-9.710029986,8.350897397,72.0986702,11.91875625,107.4122159,-8.115140585,92.65405676,48.43607405,26.76383034,-22.60386337,7.655577767,100.6893442,51.65192734,60.38253444,80.69455912,100.5980835,76.78338621,-4.538590239,28.92366694,52.02131589,6.495263135,91.75883273,22.04000261,42.1434314,96.34794229,77.90458911,76.27058798,88.70811786,42.19056526,38.10734979,104.9078425,-0.498426023,52.73392947,21.63762033,79.10830786,82.10114513,25.57484374,28.9098499,112.088827,45.16515352,-9.321821251,-3.929239473,-23.40549295,-20.03398878,78.70226744,57.39198869,90.67817875,91.24846024,114.0779689,94.08161869,43.37675076,97.03339568,78.97600255,34.51229527,82.63036635,10.91176605,103.5893517,96.91477713,81.60385967,-2.286828779,66.40243624,-77.48186505,36.69761394,-2.090651946,102.6586523,90.8059218,78.62927141,74.15370227,22.84205484,-13.38678772,29.42538437,-23.66554131,35.28593936,29.68002304,105.19529,107.8947833,23.72138549,65.29546283,87.80378117,115.0338612,105.759644,55.61208893,76.73303705,113.0162957,76.14516831,34.53817032,87.52160418,54.14476856,65.96798467,97.46834327,-3.329982482,16.7892373,86.90081479,8.018235688,-27.4749274,29.28497525,22.55975686,87.70501922,107.6878535,61.0722138,64.68407934,38.46043056,97.31314592,45.30792565,103.1589127,3.051920567,6.67789496,44.73416576,37.46340517,19.9543226,46.56361328,107.8195361,3.578650959,27.35676578,100
3.333333333,85.32712616,70.62111599,-1.770348964,28.12404937,108.0466951,19.897549,14.29588023,-7.424166703,8.246599452,-10.87903611,108.9766851,66.49265569,4.370192517,22.68317326,110.6150319,102.3754943,-11.70907392,-14.51642693,54.09423754,-27.93609578,55.87164834,-13.09536743,56.48874451,33.46931902,6.121528834,-13.80372431,-2.943700839,35.30322454,17.29444613,-6.71580983,87.83462257,104.1355221,85.14460475,-10.15329625,-11.31361088,-13.6212029,-4.286536874,95.04421798,18.29831385,45.41577941,101.7192864,69.71285472,74.49752292,90.1248316,-13.87494867,-8.778913272,104.6842922,-3.053287103,30.43364205,-16.81760117,57.0680688,43.06651763,-15.75915872,-5.147360737,102.1568046,30.10059766,-24.5779917,-11.94511611,-35.7098864,-40.89716684,63.18604863,20.59286464,-8.172133765,75.77786395,-24.49587116,80.18499932,-0.142570373,86.45809572,65.31205803,0.140289247,76.74962361,-7.305305899,87.39335736,89.7429171,42.11756923,-4.129978557,44.13864684,-12.48802409,24.98175099,-21.78589352,93.36078288,12.29412838,-21.35247958,66.78110315,-3.422829509,-36.30297915,0.902185319,-25.14827319,13.2761337,-1.801523756,96.29730874,87.94486967,5.520969278,52.85616028,22.06124417,94.67479101,57.00416211,57.79896065,39.82898898,30.92160182,9.922930408,-4.599778961,16.85978155,28.61245341,38.6344397,92.85945234,-14.36310301,4.78260614,68.49346878,-15.83512633,-53.27531069,-44.21742913,13.03158031,66.8850599,113.2326314,39.15646714,11.36673604,0.897969501,58.04821699,14.99271043,26.51023479,-14.5324092,-14.87572455,6.02888787,-10.43613982,-17.38239686,20.59392379,108.6237405,-12.26558734,-18.00318625,
1.111111111,66.35793751,29.37997045,-16.38509843,21.40986919,104.0051497,12.11866064,10.22391465,-16.90224241,12.62276737,-7.971730911,107.3209552,51.19996958,-10.31843466,22.52672635,105.6608796,62.7031637,-18.34503064,-34.59812698,30.90098214,-28.58795793,4.687432098,-32.63384903,28.15881535,26.20322889,9.280887402,-18.24942419,-13.63424015,17.11192473,14.29153448,-3.195754205,90.99832689,103.8834688,88.02148972,-17.03261484,-20.80906958,-23.60773109,-8.671396289,94.57922298,3.966037982,42.28684108,81.02483595,45.32886446,59.73501803,87.84331407,3.005383457,-11.00072996,91.80049272,-8.176696017,-1.529494959,-11.17409553,47.18623112,30.64350563,-21.59884119,-7.113691318,87.93170309,15.04972855,-13.94794471,-25.24408048,-28.99425156,-39.40531046,49.90533327,-16.09676536,-47.51699439,51.10520553,-59.92175738,37.09909211,7.759249966,60.76349286,25.30110863,-12.25534924,65.86865277,-5.72220448,37.41388749,78.16392171,15.42839546,-9.896664994,38.59094849,-3.892741457,15.51051599,-36.71358182,14.03690862,-15.7135362,-25.17108445,62.54733336,-20.0887358,-14.67334276,5.281947169,-32.79004517,-9.584905882,-29.82640236,39.68319754,49.33835373,-11.3108885,44.57426546,-3.471070979,-22.16059398,25.95998965,22.70554831,15.51003492,4.594488143,-14.59354755,-16.36655967,-29.45016637,9.518476715,-11.8564307,88.19882897,-26.35092237,-36.26003786,44.40495926,-6.683185778,-22.86133352,-11.3202944,17.17017624,64.65115869,109.7336367,38.26760961,-2.568104594,5.685572525,26.4161758,3.771471906,-19.14600308,-18.53932254,-27.17864155,-9.923518277,-8.305703503,-7.572043314,26.82533244,32.52530775,-11.3673239,-21.77965504,
0.37037037,22.77877971,-4.112706966,-26.03700404,6.125874582,101.8540046,-3.486919299,-5.620681413,-21.0480857,-16.88920516,-33.68117422,104.3658468,20.57548564,-17.667094,-4.203967668,66.32317153,1.35858937,-35.09354222,-36.54502195,4.122484899,-46.02309765,-43.68943114,-32.94674286,25.85556908,26.05547347,-8.541023858,-8.171635305,-17.52803007,-10.03596106,-14.75544305,5.078549389,90.64197558,100.658924,91.95873713,-16.0722046,-10.19675373,-22.64732085,-14.68156534,68.09189083,-4.447329538,43.43846421,62.7205467,20.02357568,36.66778932,88.0649472,-40.86523108,-34.23627903,90.89260459,-31.87303253,-27.98599389,-34.81112277,25.64327752,12.08426479,-32.01446234,-49.09553356,64.17149505,-9.782608696,-48.03709111,-39.63342306,-41.24389799,-40.97016287,25.0091245,-25.28514075,-65.16378484,13.34344633,-62.7001688,-5.165609745,-23.7613486,31.09060632,-14.27186459,-21.84064054,40.393038,-17.69811579,0.350152835,59.12108217,-18.84780328,-13.03549432,17.38560153,-4.928372645,6.08946576,-25.8964825,-32.07377161,-16.36137598,-42.05597883,7.731876454,-13.27729367,-34.51913865,-22.51585383,-21.33879283,-36.62686795,-40.82189929,19.91199605,16.38948656,-30.66352745,30.50774223,-36.23652311,-41.98352792,-43.2815421,-23.69375566,-8.964116492,-17.30244671,-22.64029487,-24.70488989,-17.21309066,-14.8898334,-19.14130013,62.36082208,-43.81767839,-39.65086475,26.75478819,-13.57300742,-10.15396282,-32.37540122,17.14666149,39.67379164,74.10879099,7.641999694,-34.29420479,-16.03265023,8.305115634,-20.54748216,-24.81776069,-27.82764864,-18.03140395,-9.881191728,-21.83609044,-24.11702115,-6.509176631,14.65880098,-18.0831364,-20.34525531,
0.12345679,-0.570922602,3.557537699,-5.034005476,14.89559341,94.8182391,2.227738907,0.558971796,-13.29092608,-1.948524619,-6.946134457,100.8457911,22.14430055,-16.28949198,14.52185911,6.021576637,-5.468580244,-17.19775325,-19.87473382,10.58895746,-26.58456825,-17.44546087,-15.75496502,10.19784016,12.15342662,-7.402437964,-16.49374212,-6.194320108,-14.86843249,-18.80133414,-6.537634175,90.62024684,95.76995785,81.5854374,-10.38796662,-22.00849594,-20.13113294,-19.0707705,38.11926905,-9.318912694,33.39978706,44.52055539,5.02205467,17.00762679,88.01714397,-0.886217437,-4.011360007,89.47374424,-19.98836626,-20.25297687,-28.46046809,40.01893335,16.20397828,-12.83931749,-7.629225786,63.87038642,5.578493544,-16.35225147,-13.2362334,-43.92193987,-34.14959624,9.921757379,-31.16132123,-59.88525936,-14.36310963,-31.22975501,-8.678543729,4.748163694,16.26328756,-26.19759113,-35.0072996,14.14640266,-23.02682604,-11.97705187,42.30005931,-24.13545326,-11.95424061,13.58524568,-18.7976185,-2.71568046,-19.30402847,-46.80984534,-38.94452302,-47.51243214,-10.74524385,-45.2860532,-33.93973265,-15.15694147,-28.27341576,-9.133422689,-10.33267492,15.40186707,1.979647984,-26.90116751,-6.306949784,-19.62570397,-24.74721644,-15.61408769,-8.084664856,-7.492093165,-7.642587563,-14.5982505,-11.93638084,-21.88311994,-17.06259626,-11.27326491,17.42413554,-16.03735318,-15.91977943,22.05183827,-7.459172516,-9.006443041,-15.27077234,12.19445522,-16.76160747,28.29735577,-11.97870739,-26.03112177,-25.40092648,9.960554008,-18.78387594,-20.10540487,-41.42857983,-22.21702938,-18.19130425,-31.62292923,-18.47348124,-19.05194408,-9.965844826,-19.38115058,-14.40072661,
0.041152263,-35.70194689,-38.94822042,-34.93274955,-0.714332276,72.84179306,-23.68595454,-29.90471948,-27.82745209,-26.76708965,-33.39000913,85.54006779,5.617422102,-28.98342097,-7.276411282,-37.69664508,-19.37497284,-37.20122985,-30.85643823,-20.18762766,-42.11627048,-40.27801921,-22.96456043,-11.19192995,-10.14025901,-34.13747773,-25.59373778,-29.0225327,-22.95586893,-31.10849159,-26.49330755,82.93261918,87.30009561,54.31587067,-26.82793012,-33.00323758,-32.94239711,-25.12439703,16.5078658,-14.06881491,23.8347964,12.71837382,-7.028703663,-4.290882621,79.56901047,-50.0216707,-37.62146996,69.46370729,-38.4335508,-61.52310781,-59.12792554,8.493772526,-12.39677905,-39.14982435,-34.2955883,23.1021032,-26.57169579,-51.42228204,-34.02185319,-52.11118208,-41.20283772,11.80596743,-38.78940645,-57.53569962,-26.32077193,-48.65755737,-21.11524248,-22.61622337,-1.064145262,-25.86454674,-42.86349742,6.860486336,-33.09571605,-26.10178384,16.99324787,-29.88389069,-38.2054382,-6.411104521,-34.19521876,-20.61795702,-25.7641772,-43.47027693,-28.2506045,-35.13048041,-21.63990146,-36.90975866,-33.37857566,-22.06419088,-40.94735161,-21.2105981,-38.66794822,-6.485661881,-11.64479795,-26.60958461,-35.48405112,-27.85116339,-40.79838454,-32.79396376,-27.06577075,-21.2858453,-43.196889,-17.58932666,-40.34690134,-33.17019976,-33.6734154,-37.53924024,-25.59845038,-36.32587916,-33.20312041,1.843262436,-30.12739116,-27.79472799,-25.59374743,-22.24995003,-32.83158736,-12.47251714,-31.66055283,-29.98159971,-21.74203144,-4.820817608,-18.0172951,-20.95193585,-29.86402596,-28.33086428,-14.18909386,-30.96451624,-17.35888211,-31.82045313,-10.06930972,-13.86459031,-15.57176114,
0.013717421,0.64588675,-7.441549694,-5.611989918,-1.609556299,19.19788362,-11.35706836,-2.826365651,-13.76026683,-11.59608448,-3.512993786,42.27814958,9.193972448,-23.51212464,4.352809526,-18.36675938,-11.07459476,-16.11566207,-13.13013341,-12.06107948,-19.25763765,-25.2678067,-6.029181696,-1.222784755,-10.01857807,-8.019534136,-17.43242362,-16.21561427,-21.93896397,-16.20257703,-7.319868758,74.51925166,82.45458694,20.57113989,-20.93509626,-21.76947981,-30.9085872,-19.85735083,4.887336491,-8.992981617,-17.44111512,2.079983486,-11.63519621,-5.646755899,48.19271218,-10.30726767,-13.60121356,11.6371641,-36.85957389,-18.50107213,-20.05680004,24.54377481,0.131164743,-1.940097632,-5.425658105,20.93959578,-4.37177791,-14.97445139,-31.9323418,-29.88389069,-16.72635613,-9.924038505,-53.68059674,-37.26561431,-21.37529084,-27.12829052,-18.82499202,-2.793238743,11.32693097,-19.33140198,-20.82782061,-10.69505908,-29.73333637,-20.32141065,-15.70897395,-19.90168347,-32.45243852,-13.43697249,-31.3255623,-32.33381997,-37.18349377,-39.15894886,-32.34294448,-25.00228113,-22.88539623,-24.48674666,-17.66618003,-8.788037775,-12.269036,-18.55813434,-26.75537606,-8.752483745,-27.0516619,-32.97737881,-19.38115058,-8.117585506,-12.16682539,-13.79874902,-8.738374896,-22.80960107,-16.55938062,-16.32423313,-20.04896947,-19.21654733,-19.74327772,-13.11682128,-9.218075788,-18.1301659,-23.59029076,1.024949149,-2.582213443,-17.74922695,-21.55391344,-43.3567893,-13.89280801,-12.70766463,-21.1165391,-22.45217688,-19.33412108,-24.17345655,-26.52963446,-31.66995873,-29.21501887,-36.43874996,-32.27193632,-20.86728275,-12.09628114,-14.32077646,-22.28287068,-14.4759738,-10.95816726,
0.004572474,-9.827365173,-11.13543523,-17.67143975,-12.03065925,-13.76895832,-23.12969884,-26.01962105,-19.1620312,-18.47974882,-8.184672548,15.95595585,0.572009039,-20.38753205,5.660879579,-11.35272261,-19.30978662,-25.12005128,-34.93274955,-23.51212464,-9.992503585,-4.121398462,-14.73371431,-5.094845943,-18.47974882,-7.12865586,-30.17850159,-23.69030029,-31.83423145,-28.04908522,-17.0108861,40.66587719,66.51003868,3.605340924,-31.16064056,-26.31947764,-29.93513972,-42.85504759,-33.75505193,-32.73814697,-12.73467038,-7.810938247,4.770001304,-8.175981053,13.30504976,-13.45978375,-36.91432091,-11.36114786,-25.80523747,-5.110862722,-19.39983576,-4.627264018,-14.61859574,-36.16154934,-21.93188558,-15.24362425,-27.79894156,-28.48327935,-27.40658789,-10.02440805,-21.76764451,-15.68160044,-32.33838223,-50.45508463,-42.44377024,-55.45987499,-40.06227474,-20.73201332,2.56284502,-36.55390301,-31.01532917,-22.79871344,-25.85542224,-34.34121082,-19.24015694,-47.34819107,-31.05182718,-18.26839728,-14.27642684,-24.04877047,-33.39226242,-35.53652083,-37.730964,-28.3737853,-19.30402847,-17.91710388,-25.29426525,-14.30380036,-16.27013094,-35.09370628,-29.21031592,-27.72418374,-9.500252784,-13.59181922,-27.0516619,-23.18113412,-30.15090591,-31.80164133,-32.20609502,-35.89320776,-27.31973005,-48.28548082,-29.18680117,-27.49844215,-18.75565824,-28.90932713,-30.93629854,-24.81776069,-42.59491141,-18.68981694,-17.35417916,-19.06134998,-19.75268362,-46.08450025,-33.32069416,-9.834162228,-29.22912772,-32.84569621,-43.64837219,-26.37443712,-24.22989195,-20.12891961,-15.10616909,-17.7069004,-20.23238451,-29.48778997,-11.50370945,-7.623775763,-3.997801371,-11.73885695,-20.00664292,
IC50,0.8219,2.1645,25,14.675,0.02695,4.8085,21.19,25,7.5205,25,0.0175,1.448,25,23.115,0.33845,1.09,25,25,3.2315,25,3.283,25,2.556,12.303,20.43,25,25,3.9625,11.4425,7.7955,0.004268,0.001607,0.040465,25,25,10.9785,25,0.20045,23.27,7.6745,0.26,1.766,0.9586,0.01677,10.1,25,0.032565,25,6.6445,25,1.643,3.2415,25,25,0.128,10.0995,25,25,25,25,1.285,8.287,6.253,1.12255,6.2995,1.5115,10.335,0.6819,2.182,11.18,0.83225,25,1.457,0.2368,5.066,25,3.668,25,17.215,25,1.7795,5.5385,9.1045,1.332,25,25,14.625,25,19.335,25,1.851,1.7645,20.89,4.261,5.836,2.8825,3.063,4,7.3745,3.7565,6.926,25,5.507,8.076,5.824,0.3341,25,25,2.43,25,25,25,25,1.00165,0.22055,6.0185,8.2555,18.27,2.52,14.73,3.461,25,25,12.24,25,25,13.555,1.2425,25,25,
