Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,dox
"Name","ABT-263 (Navitoclax)","ABT-737","Roxadustat (FG-4592)","Selumetinib (AZD6244)","Bortezomib (PS-341)","PD184352 (CI-1040)","Gefitinib (ZD1839)","Imatinib Mesylate (STI571)","Lapatinib (GW-572016) Ditosylate","Lenalidomide (CC-5013)","Panobinostat (LBH589)","PD0325901","Perifosine (KRX-0401)","Rapamycin (Sirolimus)","Trichostatin A (TSA)","Vorinostat (SAHA, MK0683)","Y-27632 2HCl","Olaparib (AZD2281, Ku-0059436)","Pictilisib (GDC-0941)","SL-327","Crizotinib (PF-02341066)","SB216763","Refametinib (RDEA119, Bay 86-9766)","OSI-906 (Linsitinib)","U0126-EtOH","GDC-0879","LY294002","OSU-03012 (AR-12)","GSK690693","Palbociclib (PD-0332991) HCl","Docetaxel","Gemcitabine HCl","Paclitaxel","Cisplatin","PD98059","Regorafenib (BAY 73-4506)","XAV-939","Doxorubicin (Adriamycin)","Fluorouracil (5-Fluoracil, 5-FU)","Methotrexate","Epirubicin HCl","Etoposide","KU-0063794","Vinblastine","CHIR-99021 (CT99021)","Vemurafenib (PLX4032, RG7204)","Camptothecin","Ifosfamide","Mercaptopurine (6-MP)","Ruxolitinib (INCB018424)","Tipifarnib","Pimasertib (AS-703026)","BIX 02188","BIX 02189","AZD8055","PD318088","Fasudil (HA-1077) HCl","BIRB 796 (Doramapimod)","Metformin HCl","Cyclophosphamide Monohydrate","AZD8330","RAF265 (CHIR-265)","NVP-BHG712","Torkinib (PP242)","SB590885","BKM120 (NVP-BKM120, Buparlisib)","Honokiol","TAK-733","Gedatolisib (PF-05212384, PKI-587)","ICG-001","Trametinib (GSK1120212)","ZM 336372","PAC-1","PF-04691502","AZ 628","CPI-613","Lonafarnib","Dabrafenib (GSK2118436)","Alpelisib (BYL719)","GW5074","Niclosamide","Nifuroxazide","JNK-IN-8","QNZ (EVP4593)","Tofacitinib (CP-690550) Citrate","VX-702","Binimetinib (MEK162, ARRY-162, ARRY-438162)","CZC24832","Duvelisib (IPI-145, INK1197)","IPA-3","PF-3758309","SCH772984","Encorafenib (LGX818)","(+)-JQ1","LGK-974","Erastin","FRAX597","SC75741","TAK-632","EHop-016","SH-4-54","JSH-23","Sorafenib","FTI 277 HCl","EHT 1864","JNK Inhibitor IX","FR 180204","XMD8-92","GDC-0623","GDC-0994","ML141","CCG-1423","Erlotinib","LY3009120","BI-847325","Ulixertinib (BVD-523, VRT752271)","CEP-32496","AZD5363","Cobimetinib (GDC-0973, RG7420)","Nutlin-3a","Deltarasin","Salirasib","ABT-199","LDE225","PIR3.5","Fl172","FRAX1036","FRAX716","SCH51344","Kobe2602","#N/A"
10,72.22857957,88.78119262,73.32415534,73.21178859,109.2352452,82.35976362,16.67809613,69.98124467,100.0310868,16.72436479,112.8623776,100.5978778,13.40458845,-26.61119247,110.846386,87.25267439,16.19888501,6.270952577,35.75069868,8.052295979,108.8915351,-1.120465826,91.50112883,25.26588988,27.15299022,-59.0521328,-32.78805855,96.37916754,-4.869879722,87.97644843,-27.64067015,86.02820736,-10.20399522,-7.789762646,27.17116719,36.13737248,-1.439389088,89.83049972,46.33465461,72.94409135,93.18497756,70.14153253,5.33731712,39.33321491,33.86210156,65.79182872,58.6685158,-0.387760986,72.58418368,46.19843116,35.84613455,97.81587033,53.75216093,73.19808499,95.89014082,69.50953273,15.5359472,-32.71189402,-29.42803647,-14.87445997,86.96284975,41.87025547,110.1864961,80.13791344,-102.6280506,75.25242511,18.8318084,100.0399765,88.92459024,43.96232138,89.80600161,16.65914652,82.63810368,89.8231497,63.05842458,-4.006006115,-27.00672741,15.98179731,-17.33520962,64.39597492,105.1912601,-24.77919166,105.6662619,61.30417588,17.44281383,-26.37739283,64.34453067,5.938166163,8.565322535,-31.13336443,107.8208619,78.77553811,30.30255913,62.22030345,90.96215282,81.93026043,52.11389994,57.73523402,74.59570747,110.9279458,106.6722465,-5.833832324,86.74879884,6.361604312,69.57073589,55.93908898,-15.87671793,44.1812201,101.6455106,33.54726515,24.37069311,70.45469332,39.08567307,82.80539593,111.6354646,75.02445329,47.22125732,11.94235751,105.371894,-5.540944233,102.0971934,-18.38920372,9.87979017,40.97533057,-25.6584744,-2.357991732,87.64334259,107.0692334,50.70944862,45.38100263,100
3.333333333,76.7017675,66.86306749,-3.533045944,6.28086729,107.308486,43.50565655,12.66263744,13.1715927,8.782679823,-4.194026799,114.0141367,86.90400699,3.27175195,-22.89648007,108.6701065,59.1709028,13.26082511,9.189183048,24.18849108,-2.543227115,-18.89589345,-18.50921965,85.77703463,34.2585344,4.444992967,-76.43097191,-8.59781174,-28.6850199,0.441101442,1.386304064,4.278095301,90.41216287,23.52420533,0.047817834,26.68369381,-8.718440746,13.08070783,97.6267689,-4.189069442,72.13604225,105.0875903,46.20080598,-29.46332486,43.73369494,-26.39797052,6.461182639,63.52313758,-20.21608726,-37.78601124,17.13243356,1.143562664,76.99809978,-37.01091797,6.286272211,81.27483123,32.01010879,8.157127868,-62.9765425,-25.53885166,-17.99369594,87.66592108,-45.6141103,-52.14752923,14.23097822,-200.545309,27.26351992,-28.14021557,94.50629067,79.74350758,-7.3824633,88.79940925,7.930773196,14.52764003,68.66584713,33.76607231,-23.12097221,3.933555472,-17.98340709,-5.305830669,4.643486033,100.9299619,-2.464393617,10.79793237,52.81587569,1.049248217,-29.57036554,43.14092829,-17.80335224,11.34599501,-12.89490545,52.29386732,74.45632097,8.300664622,58.79739444,71.54331954,61.33281725,17.26021717,48.26224512,40.78301249,-39.14367727,-41.80613587,-25.29853964,-3.077861255,-6.139071117,78.80376829,46.20144217,11.30188536,15.96868656,93.53639212,34.10481115,-15.28388421,83.7475781,15.30704178,87.47396152,114.2679286,53.73360637,36.53789956,-0.865321102,90.39754927,-0.157802281,-54.36856482,-10.27655649,11.82767241,10.37558266,-17.70462192,6.190458862,18.23239391,14.56423523,38.76102603,23.92077465,
1.111111111,52.04222428,59.7509135,0.110611015,12.70560119,97.5127497,20.12841619,2.818980065,-5.593653758,5.515781951,1.964662311,106.0757567,72.47809985,-5.585391497,-16.60228989,92.15549988,-14.53837717,-73.58544933,-27.65884713,-20.00799374,-44.5865668,-52.3200428,-13.715456,64.54467714,12.45608092,-0.766841069,-46.56785691,-16.7295287,-2.467214317,-12.72894208,-9.481873633,12.7469125,87.35677888,6.024737208,-10.41716154,6.510558136,-0.841201415,13.57974837,97.13599061,-22.93944383,64.22575388,104.3076329,35.03683935,-39.66391189,59.6782056,-11.1001673,-17.47067946,55.25947726,0.179840501,-32.08084463,-1.306898137,-12.84755677,31.84891683,-11.93013443,-5.984894684,52.97020842,17.14272241,-23.66971081,-62.64558453,-26.6671954,2.940681572,74.82543789,-19.99144739,-58.42544175,-64.01400141,-82.44132945,-50.11033718,0.507368852,84.95309464,42.7208003,2.006111147,77.61200108,8.265160779,-24.64543663,6.773277716,17.09299297,-3.981998802,9.00252827,-21.9771952,-11.70377976,2.066129432,90.65140202,-14.668683,-3.407538082,69.56440659,10.39666727,-22.89290273,13.11120852,5.572912034,-35.10146874,-20.71642897,68.68324969,47.14715311,-19.97362243,44.65407557,33.15733582,33.3884704,-13.46656654,64.54929309,4.930687195,-32.71248998,-17.72050139,-25.29853964,-27.80749666,-4.941052964,20.44846283,27.9100516,-41.58029445,5.119476507,77.166418,8.671185701,-0.66770986,5.085953171,16.22628693,74.14226024,111.4219739,6.931501018,-8.669200766,3.990269411,63.72532478,-10.3771265,-10.10893981,-14.44580082,-5.837361096,-4.743441722,-6.052616199,-0.685353721,7.831337923,10.02623422,27.85359124,5.647027947,
0.37037037,54.87122234,47.5293775,-10.6154558,0.877348806,100.2045942,6.31226388,-3.28187322,-16.23379306,6.680760706,-17.43347331,102.1908417,42.83971834,2.362903276,-44.91540478,70.56786518,-49.59184432,-6.120785989,-6.528941666,12.10906597,-15.0688143,-10.91620209,-12.37366487,10.24179506,24.12900281,3.741048357,-43.80495694,3.129641067,-1.244399736,-1.222917859,-2.376329449,11.67447106,82.50683186,-3.081926511,-12.75703377,10.53758399,-8.6440804,9.671699072,75.9284199,3.638596325,40.01733009,76.86701272,29.07974941,-9.331500489,35.90933408,-35.14692154,-35.81226709,43.97089542,-17.31120231,-13.26939957,-23.37647862,-1.394353351,30.33131165,-10.9732715,-31.01080436,-31.85791957,9.774191923,-24.54940737,-144.7557417,-31.63670933,-67.7299906,63.81122535,-39.96210274,-37.00748835,-86.83123823,-155.860839,-61.98023898,-5.916302359,66.64751798,-20.4784529,-1.390923735,69.59012871,-1.037673263,3.604312314,6.226253927,-2.956543547,2.511979542,8.65613703,-37.40360903,2.352502387,-4.6576332,83.68585144,2.950970421,-59.75956247,57.68421594,-3.556726388,-25.9709833,15.46906968,-6.194101274,3.520942711,-75.60118699,66.06137196,-8.738011824,-46.17299144,-0.561846695,3.355090419,-39.61476835,-17.2635254,-1.098220065,-36.56238042,-42.70597278,-16.45014341,-58.61367774,-23.20774213,-27.80749666,-13.18955792,-2.499142619,-3.462497422,-8.307501618,67.17822836,20.40788195,-15.25388964,8.837037993,7.0479505,34.15068519,85.1432075,7.988368285,3.243934096,-4.604055221,42.2403954,8.38711954,-3.508371461,-4.896943311,6.624497839,-7.974032648,-8.194580909,6.922679088,0.761442871,-16.40250499,6.241626058,7.005605234,
0.12345679,-11.82835567,34.83193529,5.251389609,14.20768018,95.0753828,12.44120885,-5.491201725,1.835771044,-26.24600055,-11.84818509,71.52133006,14.4869446,-8.857246726,-42.07483956,31.0065086,-7.679048353,2.599203931,16.72271233,3.810451347,-70.20618472,-5.663056747,-9.855327816,-2.382939258,-46.69179082,-14.93827058,-33.5564488,-9.333152941,-6.302555724,-26.21625641,-72.04866885,-4.179154729,70.51498671,-15.9528762,-7.001542977,-23.75245028,-29.12787707,-50.83448833,24.69083653,-23.93752492,-54.94909415,22.45672125,-10.95751339,-27.05404964,-12.00847295,-9.86207584,-38.69142992,16.95409351,-7.099519961,-16.70073062,-1.101121163,-22.03721348,7.08880241,-67.16067431,-12.10847447,-47.75247602,-4.259797717,-32.31748815,-49.2049185,-30.94049723,-12.01073041,37.23341432,-49.23064062,-40.13701317,-31.43607678,-63.58358457,-10.34565173,-11.51686567,47.47081879,-19.67420789,1.11098131,51.21081529,-11.61460974,-9.913520083,-7.915768625,-16.33204687,-15.27058064,-13.43230634,-53.09924774,-11.28879619,-4.97658751,-7.787158016,-11.15332635,-22.33216048,35.94216381,-10.55828794,-20.40814577,-2.430097455,0.395906324,-13.50185426,-81.90533848,-19.04908412,-45.50252473,-155.2526325,-90.16442976,-12.26854838,-10.25891263,-15.95787969,-2.919066507,-12.38676225,-13.17367845,-27.51990172,-8.580981462,-21.77506062,3.52623587,-9.06442325,3.448602882,-13.57772286,-14.93982892,40.13724718,1.573060471,-15.58735861,-21.12223777,3.369205508,-97.98242451,16.95144961,-9.461410119,-12.74669701,-26.5459606,-9.445530645,-18.74031655,-16.29664182,-28.6261718,-29.26487956,-71.40371249,-16.80302063,-4.168251857,-6.481362018,-35.49139807,-18.11043072,-53.54459651,
0.041152263,32.75976031,18.29915167,5.145632672,11.76205102,93.76333581,-13.72041336,-2.082192969,-13.59978435,4.216954572,-4.577395694,12.64941782,2.44387343,1.232626015,-24.55719447,-33.27718439,-14.25911276,0.427881825,6.409758556,10.12777586,-8.951436497,0.993020455,6.143713762,6.788170095,4.018660316,-3.832139781,-37.41492453,-24.25810063,-13.83443256,-15.54306807,-12.77355829,-14.0195072,26.42425882,13.69542002,-4.539389295,-11.65650064,-37.01172621,-96.77596261,12.38337303,-16.88651165,-4.836830679,13.04765879,-0.442960451,-80.97356283,-18.09775907,-24.77576204,-35.81741152,-25.1667383,-11.45341777,-4.383263901,-20.5213231,-3.90140282,-2.327208968,-0.418627532,-14.10965555,-79.094024,-16.14341798,-11.93013443,-25.35365238,-10.57715082,-9.474529205,9.446663573,-29.77614252,-7.403040998,-15.76616019,-33.31722128,-11.3539589,3.453409199,13.85372044,-3.567015237,-1.744174207,41.06429566,-8.999527356,-67.89461218,3.595738273,-26.96900163,-8.605121489,-4.347252931,-36.21353219,-17.93539246,-12.89728621,-5.780832518,-58.99475805,-91.49037189,22.00763304,-42.74866593,-7.60195874,1.93065959,-7.010349939,-6.068495673,-19.20435009,-19.88010997,-14.18290729,-45.63661807,-15.031577,-2.513257707,-25.64788808,-14.32405818,-26.75945132,-9.19498782,-26.89354466,-5.447431771,-18.09455124,-12.19620855,-10.09482472,-9.078538338,-6.054380585,-3.17490249,-4.791080146,16.71325749,12.1717277,-8.081660199,-48.7013567,-5.346861764,-32.00320677,-18.3662667,1.88006365,-17.70638631,-17.11355258,-16.91770572,-47.69389225,-37.76039857,-9.941323135,-7.072431357,-87.46139027,-26.07839829,-10.87291899,-31.69620359,-32.16023713,-15.43562141,-15.75497529,
0.013717421,2.065461891,-7.075903323,-14.75154349,-10.21390993,66.36733185,-8.796105997,-19.06940092,-6.667747646,-37.39344266,-5.476329656,-57.77148239,-20.39962489,-16.75762039,-67.88614192,-43.43646012,-18.37206612,-5.653142034,-46.60255841,-9.189389605,-24.6183352,-70.50527855,1.222711302,-69.27420171,1.923351008,-28.51481733,-13.42462443,-8.406127293,-2.584538418,0.492327458,-0.593333595,-18.14568018,-13.65596773,10.37399123,-29.00229071,-4.964069494,-6.966841482,-61.00202632,1.045898924,-12.63640476,-4.76742769,-5.504421342,-3.293440385,-5.261510878,7.637530493,-19.42384591,-15.42491338,-15.21742159,-31.42407312,-17.29919865,-8.222719278,-67.05778582,-0.986229019,-37.14124339,-18.9368404,-40.44224901,-12.22165181,-36.41244994,-21.44217506,-52.59337934,-27.12504917,-22.26871258,-24.55283699,-29.44861417,-26.43741111,-63.56986611,-8.840050201,13.3598557,11.99829805,1.195006907,0.900059911,6.282842595,5.778689008,-3.325227292,12.19378618,-7.879757655,2.427953945,-7.385892917,-4.782814193,-5.700236536,7.426619609,-3.337230949,-0.132254576,-28.44716623,8.680144344,-14.42175063,0.929211649,2.119288483,8.690433193,-17.18059925,-40.9027702,-45.23610243,-34.65507906,-47.56685645,-39.97117434,-5.112198414,-18.01868264,-45.10377347,-24.93507611,-63.01405664,-9.778999615,-42.31604345,-17.12943206,-74.26201795,-6.214939719,-64.32499551,-4.115320275,-26.23013549,-67.47618906,-10.33301685,-0.574197397,-8.65861445,-17.86694544,-1.084104977,-29.42190993,7.841924239,2.47995492,-4.028865356,-10.46005264,-4.833425412,-62.16715132,-5.059266831,-8.575688304,-1.294066921,-23.77411006,-7.933451768,-0.858263557,9.22167416,2.00180629,11.68652152,-0.613013891,
0.004572474,-18.30762049,-29.28320757,-13.14866492,-23.95404944,-55.69104516,-21.3316079,-17.11124514,-9.746265975,-39.10207817,-42.01535128,-35.413805,-10.26183104,-22.66678922,-35.51790948,-39.61103342,-14.3681746,-9.820626321,-12.55543461,-7.566681608,-61.42670652,14.43076122,-41.32462629,10.39382066,-11.22851554,-12.36540261,-10.67494407,-2.708472329,0.348564122,0.434491633,0.467540676,0.510504432,1.564768894,5.595099653,1.049203828,0.984758195,-0.897384788,3.025536582,-3.837097137,1.500323261,11.18865013,14.49685931,17.90421561,8.764502849,24.59664676,-28.07333806,-27.58976217,4.374261159,-45.58152894,-75.28543517,-52.76486015,-7.778583976,-27.18163783,-18.53043088,-19.56788979,-33.04113718,-26.92956104,-39.66201132,-53.85890773,-71.85067451,-37.00234393,4.85612224,-33.11487392,-22.61681862,-45.03450515,-10.93554572,-9.946101437,16.24930738,6.476615912,5.151069236,8.681859152,16.74317212,11.34838578,11.21120113,3.827237369,11.64333277,2.494831461,4.679497004,3.518571908,7.450626923,2.791493266,9.355778743,9.688451518,11.57645526,9.602711112,2.873804055,12.39956315,21.06791819,15.16211903,-18.59034374,-18.20747195,-56.99750009,-29.50483607,-39.72592468,-28.35622073,-24.60160714,-19.62956714,-44.78971275,-27.92218175,-54.62087203,-16.47131604,-41.09332389,-34.12047008,-16.35663095,-47.76623208,-12.73081754,-81.63009425,-19.41254765,-25.15738875,-50.80450492,9.662770682,0.985519904,9.92037105,8.205387773,-9.025606756,0.980226746,-0.632422138,5.317087748,0.472083553,10.8396162,-1.165266737,0.105091246,4.180823108,7.873683189,-0.440104055,6.598032048,7.796050201,-54.32798394,10.64729812,5.770534973,9.403405927,
IC50,0.507,0.39095,17.137,12.1025,0.013025,3.717,25,11.878,4.9455,25,0.08243,0.366,25,25,0.20645,2.889,22.405,25,20.32,25,14.249,25,1.5162,25,20.78,25,25,14.6825,25,16.03,25,0.08108,25,25,16.8565,17.67,22.79,0.17715,8.761,1.4934,0.25875,3.1005,25,15.75,17.645,9.9625,1.6415,25,7.6525,17.835,18.31,1.3015,25,5.4635,1.1015,4.7045,21.885,25,25,25,0.21225,15.435,14.303,4.882,25,4.6285,25,0.2401,4.4505,17.595,0.104155,25,5.587,2.82,6.2895,25,25,25,25,8.6895,0.2975,25,3.718,0.439,25,25,4.4915,25,25,25,1.06285,1.351,13.575,2.615,3.9395,3.695,14.284,2.695,4.345,25,17.136,25,7.0535,25,4.3385,11.028,25,9.2915,0.22725,25,10.775,4.4605,15.527,0.8058,0.23105,3.77,17.1045,22.19,0.7638,25,6.383,25,25,18.475,25,25,15.1775,3.6165,9.005,17.9,
